cbdb_admin_type	chgis_type_ch	chgis_type_py	wikidata_qid	cbdb_count	chgis_count	confidence	suffix_char	notes
Xian	县	Xian	Q1289426	13687	8870	high	縣	County-level unit. Wikidata item is PRC-modern-tagged ("county-level subdivision") but denotes the same underlying term used historically. suffix_char is traditional (matches CBDB c_name_chn script); chgis_type_ch is simplified (matches CHGIS TYPE_CH script) — the two columns are deliberately different scripts, see note below.
xian	县	Xian	Q1289426	1727	8870	high	縣	Case variant of Xian
Zhou	州	Zhou	Q1070912	3739	2500	high	州	Prefecture-level unit. Wikidata: "historical administrative and political division of China." (unchanged between scripts)
zhou	州	Zhou	Q1070912	179	2500	high	州	Case variant of Zhou
Fu	府	Fu		574	497	high	府	Prefectural center. No class-level Wikidata item found — only individual fu-prefecture instances exist (e.g. Q10446805), each typed generically rather than as "instance of fu." (unchanged between scripts)
fu	府	Fu		28	497	high	府	Case variant of Fu
Wei	卫	Wei		517	103	high	衛	Military garrison (Ming). No class-level Wikidata item found for wei as a division type.
wei	卫	Wei		36	103	high	衛	Case variant of Wei
Lu	路	Lu		325	248	high	路	Circuit/route region (Song/Yuan). No class-level Wikidata item found. (unchanged between scripts)
lu	路	Lu		28	248	high	路	Case variant of Lu
Ting	厅	Ting	Q10910840	101	143	high	廳	Provincial office. Wikidata: "historical administrative division of China and Japan."
ting	厅	Ting	Q10910840	15	143	high	廳	Case variant of Ting
Zhangguansi	长官司	Zhangguansi		174	241	high	司	Official commissioner. No Wikidata class-level item checked/found. Suffix is the final syllable only (司), unchanged between scripts.
zhangguansi	长官司	Zhangguansi		8	241	high	司	Case variant of Zhangguansi
Qianhusuo	千户所	Qianhusuo		120	30	high	所	Militia unit. No Wikidata class-level item checked/found. (unchanged between scripts)
qianhusuo	千户所	Qianhusuo		14	30	high	所	Case variant of Qianhusuo
Dao	道	Dao		405	2	medium	道	Route; RARE in CHGIS. No Wikidata class-level item checked/found. (unchanged between scripts)
Jun	郡	Jun	Q517267	184	1715	medium	郡	Commandery (primary), also military district (ambiguous). Wikidata "commandery": subclass of administrative territorial entity of China, inception 7th c. BCE, end 7th c. CE, spans Zhou/Qin/Han/Jin/Sui/Tang. (unchanged between scripts)
Fengjun	郡	Fengjun	Q517267	499	1715	medium	郡	Enfeoffed commandery; variant of commandery — same Wikidata class as Jun.
County	县	County	Q1289426	505	8870	medium	縣	English translation of Xian
Prefecture	州	Prefecture	Q1070912	89	2500	medium	州	English translation of Zhou
du	都	Du		586		low	都	Varies: 都护, 都督; CHGIS fragments into rare compounds. Not searched on Wikidata — too ambiguous to target a query. (unchanged between scripts)
shi	市	Shi		507		cbdb_only	市	Market/city admin unit; not in CHGIS. Not yet searched on Wikidata. (unchanged between scripts)
state	国	State		247		cbdb_only	國	Kingdom/principality; estimated suffix. Wikidata search for "guo" class-level item returned no results.
pu	浦	Pu		318		cbdb_only	浦	Unknown admin level; CBDB-only. Not yet searched on Wikidata. (unchanged between scripts)
qi	旗	Qi		245		cbdb_only	旗	Banner/flag unit (Qing); CBDB-only. Not yet searched on Wikidata. (unchanged between scripts)
diqu	地区	Diqu		156		cbdb_only	地	Regional district (modern); CBDB-only. Not yet searched on Wikidata.
shixiaqu	市辖区	Shixiaqu		65		cbdb_only	區	Municipal district (modern); CBDB-only. Not yet searched on Wikidata.
bingbeidao	兵备道	Bingbeidao		124		cbdb_only	道	Military preparation circuit; specialized. Not yet searched on Wikidata. (unchanged between scripts)
baqi	八旗	Baqi		40		cbdb_only	旗	Eight Banners (Qing); specialized. Not yet searched on Wikidata. (unchanged between scripts)
fengguo	封国	Fengguo		215		cbdb_only	國	Enfeoffed kingdom; variant. Not yet searched on Wikidata.
fenxundao	分巡道	Fenxundao		498		cbdb_only	道	Surveillance circuit (Ming); specialized. Not yet searched on Wikidata. (unchanged between scripts)
dutuanlianguanchashi	都团练管察使	Dutuanlianguanchashi		40		cbdb_only	使	Long title; specialized military. Not yet searched on Wikidata. (unchanged between scripts)
zhuangdi	庄地	Zhuangdi		73		cbdb_only	莊	Manor/estate; not an admin level. Not searched on Wikidata.
zizhixian	自治县	Zizhixian	Q1289426	28		cbdb_only	縣	Autonomous county (modern) — treated as a Xian variant; PRC-modern Wikidata item applies directly here.
zizhizhou	自治州	Zizhizhou	Q1070912	18		cbdb_only	州	Autonomous prefecture (modern) — treated as a Zhou variant.
jiedu	节度	Jiedu		651	7	low	度	Military commissioner; RARE in CHGIS. Not yet searched on Wikidata. (unchanged between scripts)
jiedushi	节度使	Jiedushi		83	7	low	度	Military commissioner title variant; RARE. Not yet searched on Wikidata. (unchanged between scripts)
yamen	衙门	Yamen		52		cbdb_only	門	Administrative office; not primary admin level. Not searched on Wikidata.
kailuo	开罗	Kailuo		31		cbdb_only		Foreign place (Cairo); not admin type. Not applicable to Wikidata admin-type search.
gazeteer	gazetteer	Gazeteer		24		cbdb_only		Data entry artifact; not real admin type. Not applicable.
