nohup: ignoring input
npm notice run authority-extraction@0.1.0 wikidata:extract-crosswalk
npm notice run node wikidata/extractCrosswalkConcordance.mjs --dump /home/d/Data/latest-all.json.bz2 --out-dir packs/wikidata --keys viaf,cbdb,ndl,dila,bdrc
  scanned 500,000 … matched 105,609
  scanned 1,000,000 … matched 147,409
  scanned 1,500,000 … matched 174,998
  scanned 2,000,000 … matched 201,223
  scanned 2,500,000 … matched 218,036
  scanned 3,000,000 … matched 227,488
  scanned 3,500,000 … matched 232,292
  scanned 4,000,000 … matched 233,523
  scanned 4,500,000 … matched 236,325
  scanned 5,000,000 … matched 274,102
  scanned 5,500,000 … matched 278,545
  scanned 6,000,000 … matched 291,329
  scanned 6,500,000 … matched 304,003
  scanned 7,000,000 … matched 314,500
  scanned 7,500,000 … matched 332,705
  scanned 8,000,000 … matched 333,981
  scanned 8,500,000 … matched 335,859
  scanned 9,000,000 … matched 337,697
  scanned 9,500,000 … matched 340,670
  scanned 10,000,000 … matched 345,145
  scanned 10,500,000 … matched 352,794
  scanned 11,000,000 … matched 408,737
  scanned 11,500,000 … matched 422,965
  scanned 12,000,000 … matched 439,432
  scanned 12,500,000 … matched 479,241
  scanned 13,000,000 … matched 488,007
  scanned 13,500,000 … matched 498,963
  scanned 14,000,000 … matched 502,107
  scanned 14,500,000 … matched 574,080
  scanned 15,000,000 … matched 637,816
  scanned 15,500,000 … matched 732,689
  scanned 16,000,000 … matched 786,551
  scanned 16,500,000 … matched 816,148
  scanned 17,000,000 … matched 837,810
  scanned 17,500,000 … matched 857,378
  scanned 18,000,000 … matched 865,151
  scanned 18,500,000 … matched 873,476
  scanned 19,000,000 … matched 874,737
  scanned 19,500,000 … matched 876,843
  scanned 20,000,000 … matched 881,244
  scanned 20,500,000 … matched 919,512
  scanned 21,000,000 … matched 923,996
  scanned 21,500,000 … matched 942,697
  scanned 22,000,000 … matched 953,625
  scanned 22,500,000 … matched 974,039
  scanned 23,000,000 … matched 975,192
  scanned 23,500,000 … matched 977,102
  scanned 24,000,000 … matched 978,955
  scanned 24,500,000 … matched 980,869
  scanned 25,000,000 … matched 985,548
  scanned 25,500,000 … matched 990,922
  scanned 26,000,000 … matched 1,047,887
  scanned 26,500,000 … matched 1,059,204
  scanned 27,000,000 … matched 1,077,267
  scanned 27,500,000 … matched 1,119,210
  scanned 28,000,000 … matched 1,125,735
  scanned 28,500,000 … matched 1,137,499
  scanned 29,000,000 … matched 1,143,745
  scanned 29,500,000 … matched 1,204,600
  scanned 30,000,000 … matched 1,249,516
  scanned 30,500,000 … matched 1,357,593
  scanned 31,000,000 … matched 1,418,570
  scanned 31,500,000 … matched 1,450,908
  scanned 32,000,000 … matched 1,475,308
  scanned 32,500,000 … matched 1,497,767
  scanned 33,000,000 … matched 1,505,863
  scanned 33,500,000 … matched 1,515,862
  scanned 34,000,000 … matched 1,517,233
  scanned 34,500,000 … matched 1,519,217
  scanned 35,000,000 … matched 1,523,682
  scanned 35,500,000 … matched 1,561,331
  scanned 36,000,000 … matched 1,565,507
  scanned 36,500,000 … matched 1,583,480
  scanned 37,000,000 … matched 1,594,405
  scanned 37,500,000 … matched 1,616,070
  scanned 38,000,000 … matched 1,617,439
  scanned 38,500,000 … matched 1,619,133
  scanned 39,000,000 … matched 1,621,158
  scanned 39,500,000 … matched 1,622,710
  scanned 40,000,000 … matched 1,626,797
  scanned 40,500,000 … matched 1,631,002
  scanned 41,000,000 … matched 1,688,323
  scanned 41,500,000 … matched 1,699,412
  scanned 42,000,000 … matched 1,714,311
  scanned 42,500,000 … matched 1,758,947
  scanned 43,000,000 … matched 1,766,533
  scanned 43,500,000 … matched 1,774,891
  scanned 44,000,000 … matched 1,784,814
  scanned 44,500,000 … matched 1,798,655
  scanned 45,000,000 … matched 1,883,616
  scanned 45,500,000 … matched 1,970,491
  scanned 46,000,000 … matched 2,047,327
  scanned 46,500,000 … matched 2,079,122
  scanned 47,000,000 … matched 2,106,399
  scanned 47,500,000 … matched 2,133,716
  scanned 48,000,000 … matched 2,146,434
  scanned 48,500,000 … matched 2,156,286
