  scanned 500 000 … matched ja:place 1 253
  scanned 1 000 000 … matched ja:place 2 439
  scanned 1 500 000 … matched ja:place 11 645
  scanned 2 000 000 … matched ja:place 12 485
  scanned 2 500 000 … matched ja:place 13 006
  scanned 3 000 000 … matched ja:place 13 495
  scanned 3 500 000 … matched ja:place 13 940
  scanned 4 000 000 … matched ja:place 14 150
  scanned 4 500 000 … matched ja:place 14 331
  scanned 5 000 000 … matched ja:place 14 592
  scanned 5 500 000 … matched ja:place 14 956
  scanned 6 000 000 … matched ja:place 15 148
  scanned 6 500 000 … matched ja:place 15 262
  scanned 7 000 000 … matched ja:place 15 966
  scanned 7 500 000 … matched ja:place 16 199
  scanned 8 000 000 … matched ja:place 16 240
  scanned 8 500 000 … matched ja:place 16 274
  scanned 9 000 000 … matched ja:place 16 326
  scanned 9 500 000 … matched ja:place 16 490
  scanned 10 000 000 … matched ja:place 16 610
  scanned 10 500 000 … matched ja:place 16 647
  scanned 11 000 000 … matched ja:place 17 058
  scanned 11 500 000 … matched ja:place 17 673
  scanned 12 000 000 … matched ja:place 18 667
  scanned 12 500 000 … matched ja:place 19 272
  scanned 13 000 000 … matched ja:place 19 714
  scanned 13 500 000 … matched ja:place 20 269
  scanned 14 000 000 … matched ja:place 20 703
  scanned 14 500 000 … matched ja:place 22 267
