chgis_sys_id	dila_pl_id	match_method	delta_lat	delta_lon	name
95019	PL000000015619	name-only			太平縣
95025	PL000000003983	name-only			鎮虜衛
95026	PL000000003983	name-only			鎮虜衛
95064	PL000000003983	name-only			鎮虜衛
95065	PL000000003982	name-only			天成衛
95071	PL000000003966	name-only			陽和衛
95110	PL000000005521	name-only			堅州
95116	PL000000005652	name-only			崞州
95118	PL000000034136	name-only			石城縣
95144	PL000000006216	name-only			汾陽縣
95168	PL000000021448	name-only			中都縣
95215	PL000000005994	name-only			彘縣
95217	PL000000005994	name-only			彘縣
95234	PL000000034868	name-only			萬春縣
95273	PL000000034861	name-only			興樂縣
95309	PL000000004677	name-only			榆社縣
95310	PL000000004677	name-only			榆社縣
95311	PL000000004677	name-only			榆社縣
95312	PL000000004677	name-only			榆社縣
95358	PL000000005580	name-only			樓煩縣
95359	PL000000005580	name-only			樓煩縣
95415	PL000000029710	name-only			平陽縣
95419	PL000000029710	name-only			平陽縣
95429	PL000000015619	name-only			太平縣
95430	PL000000015619	name-only			太平縣
95431	PL000000015619	name-only			太平縣
95461	PL000000005819	name-only			和川縣
95462	PL000000005819	name-only			和川縣
95466	PL000000005819	name-only			和川縣
95492	PL000000001718	name-only			永濟縣
95500	PL000000004282	name-only			甲水縣
95501	PL000000004282	name-only			甲水縣
95523	PL000000004548	name-only			平虜衛
95524	PL000000004548	name-only			平虜衛
95542	PL000000004521	name-only			陰館縣
95544	PL000000004521	name-only			陰館縣
95545	PL000000004521	name-only			陰館縣
95552	PL000000004521	name-only			陰館縣
95558	PL000000004632	name-only			威遠衛
95559	PL000000000495	name-only			定邊衛
95563	PL000000004053	name-only			大同左衛
95567	PL000000000781	name-only			鎮朔衛
95576	PL000000005595	name-only			岢嵐州
95613	PL000000009460	name-only			臨津縣
95623	PL000000003830	name-only			清源縣
95624	PL000000003830	name-only			清源縣
95633	PL000000006216	name-only			汾陽縣
95635	PL000000006216	name-only			汾陽縣
200006	PL000000021448	name-only			中都縣
95648	PL000000021448	name-only			中都縣
95651	PL000000034136	name-only			石城縣
95679	PL000000045694	name-only			晉昌縣
95689	PL000000005580	name-only			樓煩縣
95733	PL000000015619	name-only			太平縣
44927	PL000000009460	name-only			臨津縣
87383	PL000000059292	name-only			陽信縣
87132	PL000000002780	name-only			茹縣
87134	PL000000002780	name-only			茹縣
87434	PL000000003439	name-only			路縣
87477	PL000000001328	name-only			絫縣
87479	PL000000001328	name-only			絫縣
88270	PL000000002854	name-only			龍門縣
87457	PL000000002934	name-only			字縣
88484	PL000000007075	name-only			承德
44758	PL000000058984	name-only			中山縣
44870	PL000000003242	name-only			莫縣
44965	PL000000058984	name-only			中山縣
88434	PL000000000835	name-only			葦澤縣
44987	PL000000059226	name-only			房山縣
85080	PL000000024753	name-only			觀縣
85082	PL000000024753	name-only			觀縣
85086	PL000000024744	name-only			觀城縣
85087	PL000000024744	name-only			觀城縣
85088	PL000000024744	name-only			觀城縣
85197	PL000000010646	name-only			東陽縣
87084	PL000000001015	name-only			常山國
87086	PL000000001015	name-only			常山國
87180	PL000000001940	name-only			貰縣
87181	PL000000003702	name-only			郻縣
87230	PL000000000875	name-only			關縣
87270	PL000000002088	name-only			繚縣
87277	PL000000012640	name-only			樂成縣
87279	PL000000012640	name-only			樂成縣
87367	PL000000002558	name-only			新昌縣
87515	PL000000000793	name-only			真定國
87516	PL000000000793	name-only			真定國
87618	PL000000012640	name-only			樂成縣
87700	PL000000002414	name-only			完州
87708	PL000000002395	name-only			蠡州
87709	PL000000002395	name-only			蠡州
87710	PL000000002395	name-only			蠡州
87922	PL000000000394	name-only			廣平縣
87980	PL000000001418	name-only			昭義縣
88008	PL000000003211	name-only			獻州
88030	PL000000003242	name-only			莫縣
88499	PL000000007010	name-only			多倫諾爾廳
44888	PL000000003514	name-only			武強縣
44889	PL000000003519	name-only			蕪蔞縣
79022	PL000000007408	name-only			錦縣
79024	PL000000058601	name-only			綏中縣
79027	PL000000007306	name-only			興京廳
79033	PL000000007735	name-only			昌圖廳
79039	PL000000007251	name-only			岫岩廳
79072	PL000000035015	name-only			濛江
200027	PL000000020277	name-only			濟南
45066	PL000000003514	name-only			武強縣
45078	PL000000022298	name-only			瑗縣
45085	PL000000022288	name-only			禹城縣
45086	PL000000022288	name-only			禹城縣
45120	PL000000022298	name-only			瑗縣
45127	PL000000020307	name-only			茬縣
45132	PL000000003793	name-only			太原縣
45189	PL000000029710	name-only			平陽縣
45195	PL000000021352	name-only			橐縣
45197	PL000000021352	name-only			橐縣
45228	PL000000020713	name-only			嶧州
45229	PL000000020713	name-only			嶧州
45242	PL000000018364	name-only			建陽縣
45247	PL000000021448	name-only			中都縣
45258	PL000000010558	name-only			壽張縣
45260	PL000000010558	name-only			壽張縣
45261	PL000000010558	name-only			壽張縣
45262	PL000000010558	name-only			壽張縣
45263	PL000000010558	name-only			壽張縣
45264	PL000000010558	name-only			壽張縣
45265	PL000000010558	name-only			壽張縣
45266	PL000000010558	name-only			壽張縣
45271	PL000000021537	name-only			瑕縣
45280	PL000000021647	name-only			龔縣
45301	PL000000002788	name-only			永興縣
45315	PL000000022318	name-only			清縣
45317	PL000000022318	name-only			清縣
85033	PL000000022854	name-only			秺縣
85035	PL000000022854	name-only			秺縣
85039	PL000000022931	name-only			黎縣
85041	PL000000022931	name-only			黎縣
85044	PL000000022931	name-only			黎縣
85089	PL000000024744	name-only			觀城縣
85183	PL000000001718	name-only			永濟縣
85196	PL000000010646	name-only			東陽縣
85242	PL000000014830	name-only			樂安縣
85245	PL000000058920	name-only			博興縣
85247	PL000000058920	name-only			博興縣
85249	PL000000014830	name-only			樂安縣
85259	PL000000014830	name-only			樂安縣
85277	PL000000021196	name-only			益縣
85279	PL000000021196	name-only			益縣
85339	PL000000021134	name-only			昌縣
85341	PL000000021163	name-only			橫縣
85343	PL000000021163	name-only			橫縣
85412	PL000000021798	name-only			靖海衛
85413	PL000000020999	name-only			大嵩衛
85414	PL000000021801	name-only			成山衛
85415	PL000000010146	name-only			海陽縣
85417	PL000000021769	name-only			威海衛
85515	PL000000021214	name-only			斟縣
85517	PL000000020485	name-only			邞縣
85519	PL000000020485	name-only			邞縣
85520	PL000000020569	name-only			靈山衛
85530	PL000000059292	name-only			陽信縣
85531	PL000000059292	name-only			陽信縣
85532	PL000000059292	name-only			陽信縣
85533	PL000000059292	name-only			陽信縣
85534	PL000000059292	name-only			陽信縣
85542	PL000000022588	name-only			朸縣
85581	PL000000009408	name-only			利城縣
85673	PL000000029710	name-only			平陽縣
85701	PL000000021747	name-only			肥城縣
85702	PL000000021747	name-only			肥城縣
85703	PL000000021747	name-only			肥城縣
44356	PL000000023108	name-only			中牟縣
44357	PL000000023108	name-only			中牟縣
44358	PL000000023108	name-only			中牟縣
44363	PL000000023108	name-only			中牟縣
44364	PL000000023108	name-only			中牟縣
44376	PL000000023499	name-only			儀封廳
82008	PL000000039482	name-only			新平縣
82010	PL000000039482	name-only			新平縣
82020	PL000000026009	name-only			西華縣
82022	PL000000026009	name-only			西華縣
82024	PL000000026009	name-only			西華縣
82026	PL000000026009	name-only			西華縣
82027	PL000000026009	name-only			西華縣
82035	PL000000026009	name-only			西華縣
82039	PL000000026009	name-only			西華縣
82106	PL000000025694	name-only			栗縣
82108	PL000000025694	name-only			栗縣
82110	PL000000025694	name-only			栗縣
82130	PL000000007819	name-only			建平縣
82132	PL000000007819	name-only			建平縣
82136	PL000000007819	name-only			建平縣
82138	PL000000007819	name-only			建平縣
82173	PL000000025634	name-only			傿縣
82220	PL000000024218	name-only			林州
82221	PL000000024218	name-only			林州
82226	PL000000055233	name-only			武安縣
82228	PL000000055233	name-only			武安縣
82229	PL000000055233	name-only			武安縣
82230	PL000000055233	name-only			武安縣
82231	PL000000055233	name-only			武安縣
82232	PL000000055233	name-only			武安縣
82282	PL000000024385	name-only			酸棗縣
82283	PL000000024385	name-only			酸棗縣
82284	PL000000024385	name-only			酸棗縣
82318	PL000000024248	name-only			浚州
82328	PL000000025586	name-only			甾縣
82330	PL000000025586	name-only			甾縣
82331	PL000000025587	name-only			考城縣
82334	PL000000025587	name-only			考城縣
82336	PL000000025587	name-only			考城縣
82337	PL000000025587	name-only			考城縣
82338	PL000000025587	name-only			考城縣
82339	PL000000025587	name-only			考城縣
82340	PL000000025587	name-only			考城縣
82341	PL000000025587	name-only			考城縣
82342	PL000000025587	name-only			考城縣
82396	PL000000023108	name-only			中牟縣
82535	PL000000055319	name-only			忠義縣
82564	PL000000014830	name-only			樂安縣
82626	PL000000055832	name-only			武川縣
82667	PL000000009492	name-only			義鄉縣
82702	PL000000012640	name-only			樂成縣
82704	PL000000012640	name-only			樂成縣
82706	PL000000012640	name-only			樂成縣
82711	PL000000025467	name-only			臨湍縣
82715	PL000000025467	name-only			臨湍縣
82838	PL000000023582	name-only			永昌縣
82892	PL000000058498	name-only			登封縣
82895	PL000000058498	name-only			登封縣
82941	PL000000059449	name-only			金門縣
82942	PL000000023582	name-only			永昌縣
82949	PL000000025078	name-only			崤縣
82950	PL000000025078	name-only			崤縣
82951	PL000000025078	name-only			崤縣
82952	PL000000025078	name-only			崤縣
82953	PL000000025078	name-only			崤縣
82992	PL000000047172	name-only			寶豐縣
82993	PL000000047172	name-only			寶豐縣
83007	PL000000024836	name-only			潁陰縣
83009	PL000000024836	name-only			潁陰縣
83010	PL000000024836	name-only			潁陰縣
83027	PL000000059077	name-only			襄城縣
83029	PL000000059077	name-only			襄城縣
83031	PL000000059077	name-only			襄城縣
83077	PL000000034136	name-only			石城縣
83082	PL000000059285	name-only			確山縣
83094	PL000000059285	name-only			確山縣
83103	PL000000029710	name-only			平陽縣
83105	PL000000029710	name-only			平陽縣
83125	PL000000055279	name-only			高安縣
70206	PL000000039482	name-only			新平縣
70261	PL000000043117	name-only			好畤縣
70262	PL000000043117	name-only			好畤縣
70264	PL000000043117	name-only			好畤縣
70265	PL000000043117	name-only			好畤縣
70270	PL000000015029	name-only			龍泉縣
70351	PL000000043330	name-only			潼關廳
70421	PL000000043117	name-only			好畤縣
70425	PL000000043440	name-only			徵縣
70429	PL000000043331	name-only			船司空
70635	PL000000042433	name-only			杜城
70725	PL000000027718	name-only			新豐縣
70726	PL000000027718	name-only			新豐縣
70727	PL000000027718	name-only			新豐縣
70728	PL000000027718	name-only			新豐縣
70730	PL000000027718	name-only			新豐縣
70795	PL000000043286	name-only			下邽縣
70796	PL000000043286	name-only			下邽縣
70797	PL000000043286	name-only			下邽縣
70800	PL000000043286	name-only			下邽縣
70801	PL000000043286	name-only			下邽縣
70844	PL000000044579	name-only			孝義廳
70845	PL000000044579	name-only			孝義廳
70846	PL000000044420	name-only			寧陝廳
70894	PL000000042849	name-only			天興縣
70895	PL000000042849	name-only			天興縣
70931	PL000000029710	name-only			平陽縣
70983	PL000000058510	name-only			南鄭縣
200046	PL000000058510	name-only			南鄭縣
71141	PL000000044054	name-only			定遠廳
71142	PL000000044067	name-only			留壩廳
200076	PL000000044464	name-only			洵陽縣
200077	PL000000044464	name-only			洵陽縣
200079	PL000000026645	name-only			錫縣
200080	PL000000026645	name-only			錫縣
71218	PL000000055233	name-only			武安縣
71244	PL000000044396	name-only			漢陰廳
70013	PL000000046082	name-only			定西城
70014	PL000000046082	name-only			定西城
70031	PL000000044738	name-only			彰縣
70033	PL000000058982	name-only			新興縣
70073	PL000000046392	name-only			基城縣
70074	PL000000046392	name-only			基城縣
70080	PL000000046642	name-only			洮州廳
70130	PL000000031148	name-only			永固縣
70131	PL000000046710	name-only			白石縣
70176	PL000000013116	name-only			長城縣
70187	PL000000008482	name-only			華亭縣
70189	PL000000008482	name-only			華亭縣
70190	PL000000008482	name-only			華亭縣
70454	PL000000045694	name-only			晉昌縣
70457	PL000000045686	name-only			會稽縣
70458	PL000000045667	name-only			新鄉縣
70460	PL000000045686	name-only			會稽縣
70499	PL000000007045	name-only			張掖居延屬國
70503	PL000000057416	name-only			金山縣
70519	PL000000023582	name-only			永昌縣
70563	PL000000047082	name-only			寧夏
70566	PL000000047175	name-only			平羅
70569	PL000000047172	name-only			寶豐縣
70588	PL000000046958	name-only			貴德廳
70589	PL000000046859	name-only			循化廳
71081	PL000000046510	name-only			徽縣
71083	PL000000046510	name-only			徽縣
44397	PL000000034775	name-only			蜀縣
44417	PL000000034861	name-only			興樂縣
44434	PL000000010646	name-only			東陽縣
44455	PL000000034868	name-only			萬春縣
44456	PL000000034868	name-only			萬春縣
44468	PL000000037267	name-only			牛鞞縣
44470	PL000000037267	name-only			牛鞞縣
44488	PL000000058945	name-only			奉節縣
44489	PL000000058945	name-only			奉節縣
44490	PL000000058945	name-only			奉節縣
44491	PL000000058945	name-only			奉節縣
44492	PL000000058945	name-only			奉節縣
44521	PL000000034466	name-only			新浦縣
44523	PL000000034466	name-only			新浦縣
44532	PL000000018882	name-only			武寧縣
44592	PL000000058953	name-only			廣元縣
44608	PL000000034861	name-only			興樂縣
44612	PL000000037190	name-only			通江縣
44613	PL000000037190	name-only			通江縣
44614	PL000000037190	name-only			通江縣
44617	PL000000015619	name-only			太平縣
44619	PL000000046710	name-only			白石縣
44620	PL000000046710	name-only			白石縣
44629	PL000000033941	name-only			曾口縣
44643	PL000000007727	name-only			歸仁縣
44648	PL000000009460	name-only			臨津縣
44669	PL000000034868	name-only			萬春縣
44708	PL000000034201	name-only			永川縣
44709	PL000000034201	name-only			永川縣
44710	PL000000034298	name-only			昌元縣
44711	PL000000034298	name-only			昌元縣
44712	PL000000034298	name-only			昌元縣
44713	PL000000034298	name-only			昌元縣
44717	PL000000034292	name-only			大足縣
44718	PL000000034292	name-only			大足縣
44719	PL000000034292	name-only			大足縣
44736	PL000000029975	name-only			南平縣
44737	PL000000029975	name-only			南平縣
44738	PL000000034084	name-only			江北廳
99016	PL000000038015	name-only			習安州
200109	PL000000038297	name-only			慕役司
99032	PL000000038310	name-only			歸化廳
99033	PL000000038008	name-only			郎岱廳
99047	PL000000058982	name-only			新興縣
200115	PL000000038851	name-only			平浪司
200116	PL000000038973	name-only			平洲六洞司
200121	PL000000039086	name-only			合江洲陳蒙爛土司
99090	PL000000038832	name-only			八寨廳
200123	PL000000038808	name-only			丹江廳
200124	PL000000039085	name-only			都江廳
99100	PL000000014830	name-only			樂安縣
200126	PL000000037967	name-only			養龍司
200130	PL000000037953	name-only			乖西司
200131	PL000000039053	name-only			程番司
200132	PL000000039049	name-only			小程番司
200133	PL000000039048	name-only			上馬橋司
200139	PL000000039055	name-only			臥龍番司
200140	PL000000039072	name-only			金石番司
200141	PL000000039065	name-only			羅番司
99182	PL000000039054	name-only			定番州
99203	PL000000039011	name-only			廣順州
99204	PL000000039017	name-only			長寨廳
99217	PL000000039001	name-only			羅斛廳
200145	PL000000038756	name-only			潭溪司
200153	PL000000038731	name-only			中林驗洞司
200155	PL000000038806	name-only			西山陽洞司
200156	PL000000038717	name-only			赤溪湳洞司
99250	PL000000038192	name-only			義泉縣
99251	PL000000038192	name-only			義泉縣
99255	PL000000038204	name-only			白泥
200157	PL000000038203	name-only			白泥司
99261	PL000000038941	name-only			草塘安撫司
99264	PL000000038651	name-only			黃平州
99265	PL000000038651	name-only			黃平州
99267	PL000000038189	name-only			湄潭縣
200159	PL000000038655	name-only			重安司
99276	PL000000038368	name-only			都上縣
99277	PL000000038368	name-only			都上縣
200161	PL000000038371	name-only			水德江司
200165	PL000000038703	name-only			都坪峨異溪司
200166	PL000000038703	name-only			都坪峨異溪司
99329	PL000000038424	name-only			松桃廳
99340	PL000000038504	name-only			貞豐州
99377	PL000000038131	name-only			綏陽縣
99382	PL000000038143	name-only			正安州
99385	PL000000038225	name-only			仁懷廳
45360	PL000000041378	name-only			浪穹詔
45361	PL000000041380	name-only			邆賧詔
45363	PL000000041379	name-only			施浪詔
45367	PL000000041354	name-only			浪穹縣
45393	PL000000041458	name-only			南賧
45408	PL000000041539	name-only			臨西縣
45409	PL000000041539	name-only			臨西縣
45427	PL000000039522	name-only			穹賧
45507	PL000000027718	name-only			新豐縣
45552	PL000000013116	name-only			長城縣
45604	PL000000027718	name-only			新豐縣
45610	PL000000040152	name-only			舍資千戶
80026	PL000000039909	name-only			寶通州
80122	PL000000039942	name-only			耿馬安撫司
80133	PL000000039589	name-only			廣邑州
80134	PL000000039589	name-only			廣邑州
80156	PL000000041399	name-only			鶴慶州
80158	PL000000030030	name-only			鶴州
80178	PL000000040177	name-only			建水
80275	PL000000039579	name-only			龍陵廳
80279	PL000000041473	name-only			隴川宣撫司
80281	PL000000041473	name-only			隴川宣撫司
80379	PL000000041438	name-only			彌城
80383	PL000000039890	name-only			緬寧廳
80410	PL000000041426	name-only			南甸宣撫司
80412	PL000000041426	name-only			南甸宣撫司
80413	PL000000041426	name-only			南甸宣撫司
80414	PL000000040088	name-only			南甸
80462	PL000000039633	name-only			巧家廳
80470	PL000000039903	name-only			慶甸
80507	PL000000040199	name-only			石平州
80514	PL000000039565	name-only			順江州
80529	PL000000039232	name-only			嵩盟部
80545	PL000000039571	name-only			騰充城
80553	PL000000039567	name-only			騰越州
80586	PL000000039560	name-only			瓦甸安撫司
80615	PL000000039828	name-only			威遠廳
80624	PL000000041544	name-only			維西廳
80661	PL000000041418	name-only			些樂城
80711	PL000000041390	name-only			野共州
80767	PL000000039590	name-only			祐甸
80780	PL000000041333	name-only			雲龍甸
80836	PL000000039849	name-only			鎮沅州
80838	PL000000041511	name-only			中甸廳
80846	PL000000039514	name-only			諸葛亮城
43434	PL000000028248	name-only			唐年縣
43436	PL000000028248	name-only			唐年縣
43449	PL000000002788	name-only			永興縣
43450	PL000000002788	name-only			永興縣
43451	PL000000002788	name-only			永興縣
43500	PL000000026536	name-only			灄陽縣
43516	PL000000028049	name-only			希水左縣
43520	PL000000028040	name-only			蘄水左縣
43528	PL000000030841	name-only			信安縣
43555	PL000000002788	name-only			永興縣
43557	PL000000059256	name-only			黃梅縣
43559	PL000000059256	name-only			黃梅縣
43612	PL000000029879	name-only			應陽縣
43615	PL000000029879	name-only			應陽縣
43626	PL000000028356	name-only			唐城縣
43627	PL000000028356	name-only			唐城縣
43629	PL000000028356	name-only			唐城縣
43631	PL000000028356	name-only			唐城縣
43671	PL000000029710	name-only			平陽縣
43673	PL000000033861	name-only			吉陽縣
43679	PL000000027719	name-only			安興縣
43680	PL000000027718	name-only			新豐縣
43681	PL000000027719	name-only			安興縣
43704	PL000000027833	name-only			監利縣
43705	PL000000027833	name-only			監利縣
